benchmark_id,split,dataset_id,system_id,metric,replay_value,chapter10a_value,absolute_delta,tolerance,status
locked,locked_benchmark,adult_income,static_weighted_ensemble,false_positive_rate,0.06137281292059219,0.06137281292059219,0.0,1e-12,pass
locked,locked_benchmark,adult_income,static_weighted_ensemble,false_negative_rate,0.3763900769888794,0.3763900769888794,0.0,1e-12,pass
locked,locked_benchmark,adult_income,static_weighted_ensemble,balanced_accuracy,0.7811185550452642,0.7811185550452642,0.0,1e-12,pass
locked,locked_benchmark,adult_income,static_weighted_ensemble,calibration_error,0.012766216739423826,0.012766216739423826,0.0,1e-12,pass
locked,locked_benchmark,adult_income,veto_mavs,accuracy,0.8634316134316135,0.8634316134316135,0.0,1e-12,pass
locked,locked_benchmark,adult_income,veto_mavs,precision,0.7592975206611571,0.7592975206611571,0.0,1e-12,pass
locked,locked_benchmark,adult_income,veto_mavs,recall,0.6287425149700598,0.6287425149700598,0.0,1e-12,pass
locked,locked_benchmark,adult_income,veto_mavs,f1,0.6878802058961161,0.6878802058961161,0.0,1e-12,pass
locked,locked_benchmark,adult_income,veto_mavs,roc_auc,0.913570628402875,0.913570628402875,0.0,1e-12,pass
locked,locked_benchmark,adult_income,veto_mavs,false_positive_rate,0.06271870794078062,0.06271870794078062,0.0,1e-12,pass
locked,locked_benchmark,adult_income,veto_mavs,false_negative_rate,0.3712574850299401,0.3712574850299401,0.0,1e-12,pass
locked,locked_benchmark,adult_income,veto_mavs,balanced_accuracy,0.7830119035146397,0.7830119035146397,0.0,1e-12,pass
locked,locked_benchmark,adult_income,veto_mavs,calibration_error,0.013903880659475142,0.013903880659475149,6.938893903907228e-18,1e-12,pass
locked,locked_benchmark,adult_income,pure_mavs_gc,accuracy,0.8607698607698607,0.8607698607698607,0.0,1e-12,pass
locked,locked_benchmark,adult_income,pure_mavs_gc,precision,0.7956469165659008,0.7956469165659008,0.0,1e-12,pass
locked,locked_benchmark,adult_income,pure_mavs_gc,recall,0.562874251497006,0.562874251497006,0.0,1e-12,pass
locked,locked_benchmark,adult_income,pure_mavs_gc,f1,0.6593186372745491,0.6593186372745491,0.0,1e-12,pass
locked,locked_benchmark,adult_income,pure_mavs_gc,roc_auc,0.9135733915748584,0.9135733915748584,0.0,1e-12,pass
locked,locked_benchmark,adult_income,pure_mavs_gc,false_positive_rate,0.045491251682368776,0.045491251682368776,0.0,1e-12,pass
locked,locked_benchmark,adult_income,pure_mavs_gc,false_negative_rate,0.437125748502994,0.437125748502994,0.0,1e-12,pass
locked,locked_benchmark,adult_income,pure_mavs_gc,balanced_accuracy,0.7586914999073187,0.7586914999073187,0.0,1e-12,pass
locked,locked_benchmark,adult_income,pure_mavs_gc,calibration_error,0.013653652346583106,0.013653652346583106,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,single_model,accuracy,0.999403110845827,0.999403110845827,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,single_model,precision,0.9444444444444444,0.9444444444444444,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,single_model,recall,0.6938775510204082,0.6938775510204082,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,single_model,f1,0.7999999999999999,0.7999999999999999,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,single_model,roc_auc,0.9657571807563768,0.9657571807563768,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,single_model,false_positive_rate,7.034327518289252e-05,7.034327518289252e-05,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,single_model,false_negative_rate,0.30612244897959184,0.30612244897959184,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,single_model,balanced_accuracy,0.8469036038726127,0.8469036038726127,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,single_model,calibration_error,0.00041773739939323447,0.00041773739939323447,0.0,1e-12,pass
