split_label,dataset_id,system_id,corruption_family,seed_role,metric,directionality,area,levels,area_hash
locked,adult_income,mean_ensemble,confidence_distortion,shadow,unsafe_acceptance_rate,lower_is_better,0.06271870794078062,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,7550d55f6ad3f6052ebde86082f77cf265bf9dbd78be0e78fe27ce1d8fe00a71
locked,adult_income,mean_ensemble,confidence_distortion,shadow,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,555aa259d4c4275420f5237cad9ea56410d099fe904ae8fbbb2308c5f89ac0a8
locked,adult_income,mean_ensemble,confidence_distortion,shadow,rejection_rate,context_dependent,0.8018018018018018,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,43b44220e4f13be2a499927a6ff700676f8b6ea38957fdcd04fe273e6082deb8
audit,adult_income,mean_ensemble,distribution_shift,audit,accuracy,higher_is_better,0.8701079388190277,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,b11696724b7405ab8849bca5e901f839242dbc131bd2c00efc6af69e84e0c4ca
audit,adult_income,mean_ensemble,distribution_shift,audit,f1,higher_is_better,0.7428445178174683,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,0df32e87a72ef3d720667bd6632eeca05e22a88a870c372bfcfbca3e63193ef4
audit,adult_income,mean_ensemble,distribution_shift,audit,unsafe_acceptance_rate,lower_is_better,0.06986016619040751,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,b15ce1b83efe8ea4de1bf5da41523bd61cfdc61b5b7a5907c5e89ec34a36e416
audit,adult_income,mean_ensemble,distribution_shift,audit,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,74b5bc78083dac5b1983ea51a003d2eb3409b9753ca945bc1394671dc5ad4741
audit,adult_income,mean_ensemble,distribution_shift,audit,rejection_rate,context_dependent,0.7581243903282162,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,af4d0c1e2c32ba3228c58f34734a367f29dd7012520ca6cedd837f87dc8ec2c7
audit,adult_income,mean_ensemble,distribution_shift,shadow,accuracy,higher_is_better,0.8701079388190277,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,a0ffbe97856f818d633f17f5b6ff52c151df814a144b01337881049e3f2210ca
audit,adult_income,mean_ensemble,distribution_shift,shadow,f1,higher_is_better,0.7428445178174683,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,ad3c8b54caf16fc32bdb8745b4fc40fdd49972c7bf2faab18707c64efdf299e9
audit,adult_income,mean_ensemble,distribution_shift,shadow,unsafe_acceptance_rate,lower_is_better,0.06986016619040751,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,df94347d9c08d5abce759674b517f5813e5c2b9de1ef4281f4f8eb150e41c1cf
audit,adult_income,mean_ensemble,distribution_shift,shadow,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,1f6ccad20f49ffaf9eb57c066586e2797812abf4fdce5022631823654e96d1cc
audit,adult_income,mean_ensemble,distribution_shift,shadow,rejection_rate,context_dependent,0.7581243903282162,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,84a4d622a9016bde7b826956ffa4b7e3d03e982b868eee5b316fe13d8b987565
locked,adult_income,mean_ensemble,distribution_shift,primary,accuracy,higher_is_better,0.8722745065163866,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,a3991bf79ab3a5db4b85722966c8391a7063e7004bee50dc2e495e49eec3b4c5
locked,adult_income,mean_ensemble,distribution_shift,primary,f1,higher_is_better,0.7453124034797177,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,f099d40726d1fe23be34801b3887fc7b748531c27dc3a627495c72275d8a8f87
locked,adult_income,mean_ensemble,distribution_shift,primary,unsafe_acceptance_rate,lower_is_better,0.06702639865975098,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,787b7d75b342f141f7a7b07923fb1391b13dad8158aa1be1c9f92ae3504ddda5
locked,adult_income,mean_ensemble,distribution_shift,primary,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,49bdcbab7ef33db0d14eeb94db8ed9b6f03112daa9a3182979b7e54cdef1ff8c
locked,adult_income,mean_ensemble,distribution_shift,primary,rejection_rate,context_dependent,0.7606009061022818,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,94f788d159ec9d8c655f7ad1a5a8c20341668e3e8c16eee235ea0b005e369960
locked,adult_income,mean_ensemble,distribution_shift,shadow,accuracy,higher_is_better,0.8722745065163866,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,ae643819e36af70c71be170dba9121efce3d5a90713854aeb9a97dd6c0e97d3c
locked,adult_income,mean_ensemble,distribution_shift,shadow,f1,higher_is_better,0.7453124034797177,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,7a2896f6dfb70066cc8bbf11ef8af2e4cfaa2c51f0973c257b0d386a3135c1b0
locked,adult_income,mean_ensemble,distribution_shift,shadow,unsafe_acceptance_rate,lower_is_better,0.06702639865975098,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,5231a5923d3ec95bc3f9779f0be755b0f21b62a4c2d92d399dc2366cae127ebb
locked,adult_income,mean_ensemble,distribution_shift,shadow,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,256e6052db4bb31b6c7da595f758908eed36aa1afdab782cb6d15cabd1c85b24
locked,adult_income,mean_ensemble,distribution_shift,shadow,rejection_rate,context_dependent,0.7606009061022818,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,249402267e74da0d0dd13ebced64e77faff6ee6a5ada4db4f9506237a192003e
audit,adult_income,mean_ensemble,feature_noise,audit,accuracy,higher_is_better,0.8394041769041769,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,d836a49787cc16d2a7c2a756d6bd807d3cbc38c98b87de8aabdf6b5257c4fc6f
audit,adult_income,mean_ensemble,feature_noise,audit,f1,higher_is_better,0.615643179035804,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,90158bdb100a48dcdcab4ee683455e68d40d4f11f342c75364eeaa14eb35cc9e
audit,adult_income,mean_ensemble,feature_noise,audit,unsafe_acceptance_rate,lower_is_better,0.06755920344456405,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,2a4912f1589bb77ac3604ee568b3530e646ad5b40d0d6fdc6300e16bae38a4e1
audit,adult_income,mean_ensemble,feature_noise,audit,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,b8b4635de5fe308dfce9314e8e225ab84ba0d49538ffde5d47ea1f69a4341b36
audit,adult_income,mean_ensemble,feature_noise,audit,rejection_rate,context_dependent,0.8186425061425062,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,3b2c307a33f377081adbc3e1f7479bfbc56c2f67a72b562e035f087c4977b9db
audit,adult_income,mean_ensemble,feature_noise,shadow,accuracy,higher_is_better,0.8387182637182636,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,a515336a65a4367bf1bcb166dcdb21c8a84c87eee17c5587892e2e7bcff0b1df
audit,adult_income,mean_ensemble,feature_noise,shadow,f1,higher_is_better,0.6144010083903756,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,b8e2563db0ffc34364f80ac3a0f15fdc088d13488f68037c323d798726b47e7c
audit,adult_income,mean_ensemble,feature_noise,shadow,unsafe_acceptance_rate,lower_is_better,0.06800995694294941,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,22f6edb6d6a0b10e8b8239ed0428b685afc940b9bc20c5d029eedd561617d2e3
audit,adult_income,mean_ensemble,feature_noise,shadow,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,c8d320941342e8d49aa6a98c247a5a147746ca668f6eaf0a91a1ea4b26a54573
audit,adult_income,mean_ensemble,feature_noise,shadow,rejection_rate,context_dependent,0.8186425061425062,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,7ef91fcfe06ff6d82786933e7d912a2373762e5474b97ac39c27f3cba768c9fd
locked,adult_income,mean_ensemble,feature_noise,primary,accuracy,higher_is_better,0.8498071935571936,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,ef51d3ca1f9dd233d4261743ca6412bf23c19e24008808d89a2f7207037c1a0a
locked,adult_income,mean_ensemble,feature_noise,primary,f1,higher_is_better,0.6371222907150103,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,4101a286665a00b347c0f8e00bdd56153fff112e44e6b0ad95c0762ae7b004f3
locked,adult_income,mean_ensemble,feature_noise,primary,unsafe_acceptance_rate,lower_is_better,0.057431583669807086,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,2ff03961feaf6e672a99ad1bf764cc2011b83e02dd5efaee412336870bae2986
locked,adult_income,mean_ensemble,feature_noise,primary,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,67582bab52d33a204a64d3d6d64332a8818cf18cd152119a271046fb0211ec17
locked,adult_income,mean_ensemble,feature_noise,primary,rejection_rate,context_dependent,0.8234694922194923,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,2fb195115fb96d130ea22ba13f1f6ccf9149d734d88a9a7aea8f7f4086653bfa
locked,adult_income,mean_ensemble,feature_noise,shadow,accuracy,higher_is_better,0.8475455569205569,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,05b14599fa914c4bd1f5a028362e2e8baea25053c16ee098dd77111e8cd48030
locked,adult_income,mean_ensemble,feature_noise,shadow,f1,higher_is_better,0.6308779416603467,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,c820fa821c50e9773a57864dbbd72bb420829425e33e28ad0ee81e9f0afb0bc6
