split_label,dataset_id,corruption_family,corruption_level,seed_role,governance_system_id,baseline_system_id,metric,bootstrap_unit,seed_count,delta_mean,ci_lower,ci_upper,iterations,bootstrap_seed,bootstrap_hash
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,single_model,unsafe_acceptance_rate,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,8cf384127b12cfe170d903c7bbd32454e355859f2b8b25bb8fa8a9dcd9918e0f
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,mean_ensemble,accuracy,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,e37d17cf0097c4091ab4f372e752d69a83c4127b2952ba83f32fe8c091c68cfe
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,mean_ensemble,f1,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,5c920408ffec88ae9ed50101b61ea57b0ec8d984f654fe66520fb6341968d0e9
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,mean_ensemble,unsafe_acceptance_rate,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,4d941b050d454e0384a444550f761dd00f01c6c16976bae76c2d0d63a6a81d13
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,static_weighted_ensemble,accuracy,seed_level_paired_by_corruption_seed,2,-0.01754385964912286,-0.01754385964912286,-0.01754385964912286,500,4040,f46c9631232108a27e37f7009e9cac2c777d0ac868c636dd1f3ed4ab42d2d8dd
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,static_weighted_ensemble,f1,seed_level_paired_by_corruption_seed,2,-0.025551684088269466,-0.025551684088269466,-0.025551684088269466,500,4040,a809f6cbfbfd502ac7aef02f6c41c87506edf1cc1a066656cdf44330197f41f1
locked,breast_cancer_wisconsin,feature_noise,0.0,shadow,pure_mavs_gc,static_weighted_ensemble,unsafe_acceptance_rate,seed_level_paired_by_corruption_seed,2,0.0,0.0,0.0,500,4040,d5be1fe0fe80410a70964c52dde58e92f6972d7a310f0703086526347ff1c6ee
locked,breast_cancer_wisconsin,feature_noise,0.05,primary,veto_mavs,single_model,accuracy,seed_level_paired_by_corruption_seed,3,0.0,0.0,0.0,500,4040,3072dd2349a0bbde691dccb4f35574c1a8e36bd1ea1a6445d03767d258b7817a
locked,breast_cancer_wisconsin,feature_noise,0.05,primary,veto_mavs,single_model,f1,seed_level_paired_by_corruption_seed,3,-0.0007936507936507539,-0.0023809523809522615,0.0,500,4040,79b84d7883cc8c87d8b1c3b21fae4ded5a73de443089ebf6fb9f5e41e77dd2f4
locked,breast_cancer_wisconsin,feature_noise,0.05,primary,veto_mavs,single_model,unsafe_acceptance_rate,seed_level_paired_by_corruption_seed,3,-0.009259259259259259,-0.027777777777777776,0.0,500,4040,a3b8bf6877e9bde2895b5224a47260f8be2edc4f63a2bf691d8c3c8929da36bb
