run_id,run_mode,split_label,split,dataset_id,system_id,corruption_family,corruption_level,seed_role,seed_count,system_run_count,prediction_rows,trace_rows,prediction_artifact_count,aggregate_hash
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,1.0,primary,3,3,171,0,3,e5d0934fc321d0b62c8b064fe4f06b6509b10ff18a382582888d9142c67cc903
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,1.0,primary,3,3,171,0,3,c3432df87b43f014a34b0b88c58c7555d2f8fd32aa19c2c889e30ece34eeede3
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,1.0,primary,3,3,171,0,3,f77297c30fe294f8e20500b7d3b980b2eceb5cbda1618addcda692767b0f0e73
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,1.0,primary,3,3,171,171,3,a5c7c141dbdcfa03af6a918a2a4841621fccd1080cbddaffd7aa62f27574106e
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,1.0,primary,3,3,171,171,3,ecaf7cc605d8652bd26aa22835c9b01be468d6a85e33cab029482cc77b3943cb
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,feature_noise,1.0,shadow,2,2,114,0,2,8c7d05e4d49520d2bf5b7821e59d188ba81747375ab90f021f31d2e84a5800eb
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,feature_noise,1.0,shadow,2,2,114,0,2,a55999b470666044a522dfdd2e7f652533fe24dc9e5c130ccf62f5cad881ae20
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,feature_noise,1.0,shadow,2,2,114,0,2,6a038c7491caa4cf27bb26082b1ae64b95bc7ac52aecc69de375febff903952d
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,1.0,shadow,2,2,114,114,2,5ad9ba544f980ee6eb6cee69ab6c18dea66e90c54316d1d5edb63340b6824137
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,1.0,shadow,2,2,114,114,2,bdf5cd7f16af7075b80401f61b22150aeb099c0547a4d3ce43ac2fbd71c97d9f
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,missing_features,0.0,primary,3,3,171,0,3,74c8541a9c38896f36d251a795a768ee0607002329337dabc19028e7b91bae48
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,missing_features,0.0,primary,3,3,171,0,3,acaa9aa0cb917413f411c0afc4f10f443d9bd3a5e88371ac3d9c3d591b4cd3df
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,missing_features,0.0,primary,3,3,171,0,3,139d0768c88a28c97e6948eb9d4cd3508df6051700b197cb2026c32f2b4d348c
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,missing_features,0.0,primary,3,3,171,171,3,4b8ee72f7e624b539027e4ec586e98384fa8b00d2d137786a9902d267cad58c2
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,missing_features,0.0,primary,3,3,171,171,3,999d2480b52cae50c25762d2e5dac7ea705d951a05f2df85cbbe7a8f8b6eb3a3
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,missing_features,0.0,shadow,2,2,114,0,2,7df1beda81486354e1f74bcd2fa2908272da5fd5ecd438d4c6e38cbaf3314157
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,mean_ensemble,missing_features,0.0,shadow,2,2,114,0,2,cb872351471a6d087efc3132f7cf37ab9c5a0ff4150c82bde649069b4ba621ff
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,static_weighted_ensemble,missing_features,0.0,shadow,2,2,114,0,2,2a7bf5c0c38dd4015efd6c8a8e71466b2929e0201ef781232703b64f6e18d8b9
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,missing_features,0.0,shadow,2,2,114,114,2,71b6e3382585440ce1059a4426d9f3e79e69417099329a1e1695219a9aad9b00
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,missing_features,0.0,shadow,2,2,114,114,2,b8350559a52bad082a4ee73dd3b9340ce642e6d393ba9cf03f9a75206cb0cc83
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,single_model,missing_features,0.05,primary,3,3,171,0,3,2f829bc00997cf98fa038149494a75b104be809c68eeceb22a57b2ef3c286dc2
